Model,Accuracy,F1 (weighted),F1 (macro),Precision,Recall,Cohen's Kappa,MCC
cnn_pytorch_pretrained,0.8615967979776701,0.852002652899779,0.6661475522939622,0.0,0.0,0.0,0.0
Logistic Regression,0.8293659153149358,0.8433085355821294,0.6790141851957295,0.8637700649081494,0.8293659153149358,0.0,0.0
Naive Bayes,0.8541183905624605,0.8292503131360287,0.6166290698707858,0.8314899691798242,0.8541183905624605,0.0,0.0
Ensemble (VADER+TextBlob),0.7988918617144543,0.7728901303534316,0.5163248541533799,0.7579996514669959,0.7988918617144543,0.4070008328607675,0.4218143844500278
VADER,0.7935407756967999,0.7706957910100899,0.5165312160880943,0.7563876886062515,0.7935407756967999,0.4023022652928989,0.41332035992180666
TextBlob,0.7684285924958392,0.7552775037469831,0.5015703829716105,0.7614369053048065,0.7684285924958392,0.3480928301136512,0.356445361268453
